,DS_Struct,DS_NonStruct_DriftSen,DS_NonStruct_AccelSen,RepairCost_Total,RepairCost_Struct,RepairCost_NonStruct_DriftSen,RepairCost_NonStruct_AccelSen,RepairTime,RecoveryTime,FunctionLossTime
0,Slight,Moderate,Slight,78498.66237248,5607.047312319999,56070.4731232,16821.141936959997,2,5,0.0
1,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
2,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
3,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
4,Slight,Slight,Slight,33642.283873919994,5607.047312319999,11214.094624639998,16821.141936959997,2,5,0.0
5,Slight,Moderate,Moderate,148026.04904524802,5607.047312319999,56070.4731232,86348.528609728,2,5,0.0
6,Complete,Complete,Complete,1682114.1936959997,262409.81421657593,560704.7312319999,858999.6482474239,180,720,720.0
7,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
8,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
9,Slight,Slight,None,16821.141936959997,5607.047312319999,11214.094624639998,0.0,2,5,0.0
10,Complete,Complete,Complete,1682114.1936959997,262409.81421657593,560704.7312319999,858999.6482474239,180,720,720.0
11,Extensive,Complete,Slight,708730.7802772479,131204.90710828797,560704.7312319999,16821.141936959997,90,360,360.0
12,Moderate,Moderate,Moderate,168211.41936960001,25792.417636671995,56070.4731232,86348.528609728,30,120,60.0
13,None,Slight,None,11214.094624639998,0.0,11214.094624639998,0.0,0,0,0.0
14,Moderate,Extensive,Moderate,392493.3118623999,25792.417636671995,280352.36561599997,86348.528609728,30,120,60.0
15,Moderate,Slight,Slight,53827.65419827199,25792.417636671995,11214.094624639998,16821.141936959997,30,120,60.0
16,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
17,Moderate,Extensive,None,306144.78325267194,25792.417636671995,280352.36561599997,0.0,30,120,60.0
18,Complete,Complete,Complete,1682114.1936959997,262409.81421657593,560704.7312319999,858999.6482474239,180,720,720.0
19,Moderate,Moderate,Slight,98684.032696832,25792.417636671995,56070.4731232,16821.141936959997,30,120,60.0
20,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
21,Extensive,Extensive,Slight,428378.4146612479,131204.90710828797,280352.36561599997,16821.141936959997,90,360,360.0
22,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
23,Moderate,Slight,Slight,53827.65419827199,25792.417636671995,11214.094624639998,16821.141936959997,30,120,60.0
24,None,None,Slight,16821.141936959997,0.0,0.0,16821.141936959997,0,0,0.0
25,Slight,Slight,Slight,33642.283873919994,5607.047312319999,11214.094624639998,16821.141936959997,2,5,0.0
26,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
27,Extensive,Complete,Moderate,778258.1669500158,131204.90710828797,560704.7312319999,86348.528609728,90,360,360.0
28,Extensive,Moderate,None,187275.38023148797,131204.90710828797,56070.4731232,0.0,90,360,360.0
29,Slight,Slight,None,16821.141936959997,5607.047312319999,11214.094624639998,0.0,2,5,0.0
30,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
31,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
32,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
33,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
34,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
35,Slight,Slight,None,16821.141936959997,5607.047312319999,11214.094624639998,0.0,2,5,0.0
36,Moderate,Moderate,Slight,98684.032696832,25792.417636671995,56070.4731232,16821.141936959997,30,120,60.0
37,Moderate,Complete,None,586497.148868672,25792.417636671995,560704.7312319999,0.0,30,120,60.0
38,Moderate,Moderate,Moderate,168211.41936960001,25792.417636671995,56070.4731232,86348.528609728,30,120,60.0
39,Moderate,Moderate,Moderate,168211.41936960001,25792.417636671995,56070.4731232,86348.528609728,30,120,60.0
40,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
41,Slight,Moderate,Slight,78498.66237248,5607.047312319999,56070.4731232,16821.141936959997,2,5,0.0
42,None,None,Slight,16821.141936959997,0.0,0.0,16821.141936959997,0,0,0.0
43,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
44,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
45,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
46,Moderate,Slight,None,37006.51226131199,25792.417636671995,11214.094624639998,0.0,30,120,60.0
47,Moderate,Moderate,Slight,98684.032696832,25792.417636671995,56070.4731232,16821.141936959997,30,120,60.0
48,Extensive,Extensive,None,411557.27272428793,131204.90710828797,280352.36561599997,0.0,90,360,360.0
49,Moderate,Extensive,Slight,322965.92518963193,25792.417636671995,280352.36561599997,16821.141936959997,30,120,60.0
50,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
51,Slight,Slight,None,16821.141936959997,5607.047312319999,11214.094624639998,0.0,2,5,0.0
52,Slight,Moderate,None,61677.52043552,5607.047312319999,56070.4731232,0.0,2,5,0.0
53,Moderate,Moderate,Moderate,168211.41936960001,25792.417636671995,56070.4731232,86348.528609728,30,120,60.0
54,None,Slight,None,11214.094624639998,0.0,11214.094624639998,0.0,0,0,0.0
55,Slight,Moderate,None,61677.52043552,5607.047312319999,56070.4731232,0.0,2,5,0.0
56,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
57,Moderate,Slight,None,37006.51226131199,25792.417636671995,11214.094624639998,0.0,30,120,60.0
58,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
59,None,Slight,Slight,28035.236561599995,0.0,11214.094624639998,16821.141936959997,0,0,0.0
60,Slight,Moderate,None,61677.52043552,5607.047312319999,56070.4731232,0.0,2,5,0.0
61,Slight,Moderate,Slight,78498.66237248,5607.047312319999,56070.4731232,16821.141936959997,2,5,0.0
62,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
63,Moderate,Moderate,Slight,98684.032696832,25792.417636671995,56070.4731232,16821.141936959997,30,120,60.0
64,Slight,Moderate,None,61677.52043552,5607.047312319999,56070.4731232,0.0,2,5,0.0
65,Slight,Slight,None,16821.141936959997,5607.047312319999,11214.094624639998,0.0,2,5,0.0
66,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
67,Slight,Slight,Moderate,103169.670546688,5607.047312319999,11214.094624639998,86348.528609728,2,5,0.0
68,Complete,Complete,Moderate,909463.0740583038,262409.81421657593,560704.7312319999,86348.528609728,180,720,720.0
69,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
70,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
71,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
72,None,None,None,0.0,0.0,0.0,0.0,0,0,0.0
73,Slight,None,None,5607.047312319999,5607.047312319999,0.0,0.0,2,5,0.0
74,None,Slight,None,11214.094624639998,0.0,11214.094624639998,0.0,0,0,0.0
